level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs
1,oracle_coords_only,baseline,0.006042680183930074,-0.011611650703036935,0.09116058780043577,0.08837527077053577,0.025152605086079936,0.2045634358048086,0.2439634088784654,0.010922901535965503,0.001936819826066494,0.01346159048662521,0.004000515455007553,0.00019406073740470747,1.0973276141342063e-05,0.0005206401016208939,6.213353541553122e-05,,,,,36
1,oracle_coords_only,depth4_light,0.00702856112566673,-0.008793838256074604,0.08009076377307256,0.08935642159814229,0.02861362602299795,0.207421940391125,0.23685424972793018,0.011037618524348362,0.0018119016925804317,0.013114064930193126,0.002677859195135534,0.00021590950772478867,7.874281814124177e-06,0.0005504631121836108,2.657350021411614e-05,,,,,36
1,oracle_coords_only,depth7_high_capacity,0.009099674819335199,-0.011727595678077365,0.10733583083716378,0.09151364129263122,0.033629319323987,0.1906555572375475,0.2292961762921601,0.010522743585333227,0.0024122826508712024,0.013157725382409991,0.00443631726205349,0.0002119910144311483,1.3103057755842147e-05,0.0004780759399528678,6.422787420332329e-05,,,,,36
1,oracle_s_only,baseline,0.00796628176416847,-0.009763420262961856,0.09887668593368314,0.08976469173808455,0.029189236208358345,0.2045634358048086,0.23870621509407874,0.010922901535965503,0.0020654876455664635,0.01346159048662521,0.004032563824998215,0.00019406073740470747,1.0605176079071988e-05,0.0005206401016208939,4.9630304851523485e-05,,,,,36
1,oracle_s_only,depth4_light,0.0061834344524854395,-0.013010601206995667,0.08161571883483114,0.08991883339528256,0.02895803540908181,0.207421940391125,0.24431596580123244,0.011037618524348362,0.0014279360972344875,0.013114064930193126,0.002655727069126442,0.00021590950772478867,4.739049170791413e-06,0.0005504631121836108,1.897011587604389e-05,,,,,36
1,oracle_s_only,depth7_high_capacity,0.00970728028730354,-0.01910148619044756,0.11625096211509722,0.09064769013890252,0.03061391242211181,0.1906555572375475,0.22595966746558013,0.010522743585333227,0.0030486682064831258,0.013157725382409991,0.005186070578172802,0.0002119910144311483,1.9467028097099305e-05,0.0004780759399528678,7.045834526626352e-05,,,,,36
2,oracle_coords_only,baseline,0.0113328886943918,-0.0033319638593647394,0.07182900465105416,0.05819449363162185,0.03391527967114878,0.1316528902278095,0.16135997154931409,0.009471022742334754,0.0010648290388286113,0.01381687207315117,0.004696529527753592,0.00013697886465121646,5.516169568077435e-06,0.00042176816764936405,4.9299812869860266e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36
2,oracle_coords_only,depth4_light,0.012280091408979538,-0.005926155096554933,0.07028331965481463,0.05918588225759126,0.03044661978922754,0.1352283828050086,0.15171948373874855,0.009494561515003441,0.000938129435479641,0.011604366366937756,0.0034021060748666058,0.00014315441306678658,3.2940821945550217e-06,0.0005312782524174138,3.0263021628262456e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36
2,oracle_coords_only,depth7_high_capacity,0.012949596304891536,0.0015388493338410678,0.06976023764853964,0.05516555331775523,0.035783395726130776,0.12214545102928107,0.15311059109784625,0.009385990660917014,0.0026200620707124474,0.013852137903403491,0.004940112503059208,0.00016459312201874655,1.4898681261724146e-05,0.0005715000563918931,6.340074043412933e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36
2,oracle_s_only,baseline,0.014138259707991263,-7.91104221835176e-05,0.06688574381088568,0.06123381753434123,0.031501438253699277,0.1316528902278095,0.15685986588523249,0.009471022742334754,0.0019309236983768641,0.01381687207315117,0.004651749462634325,0.00013697886465121646,8.804269073408361e-06,0.00042176816764936405,6.943608892702181e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36
2,oracle_s_only,depth4_light,0.012222040892273259,-0.007070783368397976,0.0668935869910926,0.060951297222497876,0.03711360956514537,0.1352283828050086,0.16228196719388854,0.009494561515003441,0.0005023640744388103,0.011604366366937756,0.002308325850404799,0.00014315441306678658,9.630417420505233e-07,0.0005312782524174138,1.6049174492138568e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36
2,oracle_s_only,depth7_high_capacity,0.01591065051868909,-0.004080725489981597,0.07034375529500211,0.05760734915257988,0.036862970382202556,0.12214545102928107,0.15108668570204675,0.009385990660917014,0.0021356372436508535,0.013852137903403491,0.005215692481026053,0.00016459312201874655,1.235077581315832e-05,0.0005715000563918931,7.042295721289849e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36
3,oracle_coords_only,baseline,0.028010866345972968,-0.006520400814948105,0.1526683085609486,0.0633346255018283,0.032219909210432926,0.21055420977750347,0.3186408126001493,0.014673330675670877,0.002791505240648985,0.016298157162987627,0.005958866619411855,0.0006124343043550466,2.5453974983168583e-05,0.0005373727906850472,7.999341627128054e-05,,,,,36
3,oracle_coords_only,depth4_light,0.02137810818420091,-0.00233342600544352,0.14965596758602095,0.062159089786038325,0.029696930800157312,0.2180872976001555,0.3247211144326572,0.014434873995278031,0.0021676899956539273,0.01605003204443492,0.005901242371695116,0.0006705796990190012,2.1462823402992327e-05,0.0004686125951510994,6.228584293492687e-05,,,,,36
3,oracle_coords_only,depth7_high_capacity,0.027216962750690243,-0.0011754949261521541,0.15512635330281038,0.06289332302822856,0.04295380348585426,0.19785764438973302,0.3034657056379615,0.012994925537914969,0.003649690580740571,0.013823333546845243,0.006937372226268053,0.00040108173060305106,3.968564371977433e-05,0.000405001039361717,0.0001024001108049552,,,,,36
3,oracle_s_only,baseline,0.04674467225341948,0.0062363290260391,0.15331307622750595,0.061141024409444196,0.04114003658284868,0.21055420977750347,0.3297992860886857,0.014673330675670877,0.0029367864061146977,0.016298157162987627,0.0023679271340370177,0.0006124343043550466,1.8538945932049827e-05,0.0005373727906850472,1.9047378872181304e-05,,,,,36
3,oracle_s_only,depth4_light,0.03576949059779666,0.00611712986544688,0.16029733237797072,0.06167478620506744,0.04422724762668875,0.2180872976001555,0.3341984320875961,0.014434873995278031,0.0014393686302006244,0.01605003204443492,0.002312725231051445,0.0006705796990190012,7.639661127302676e-06,0.0004686125951510994,1.7716870423761013e-05,,,,,36
3,oracle_s_only,depth7_high_capacity,0.048971347736203374,0.006682532648741232,0.17851450766557952,0.0697898019613394,0.048058346036117305,0.19785764438973302,0.32218274683275616,0.012994925537914969,0.0038931037798523903,0.013823333546845243,0.00510757057480514,0.00040108173060305106,3.429732335927676e-05,0.000405001039361717,5.326755524365769e-05,,,,,36
4,oracle_coords_only,baseline,0.03538010532795188,0.0001932737197616538,0.18971668835328784,0.16352087089728765,0.11669157369705047,0.1156597287377707,0.23555496081480776,0.0026368930615484716,0.0011333033436909318,0.01285234422099602,0.003388760027708486,2.7459167103021005e-05,9.404437311497095e-06,0.0016172844372629768,5.4548149691946176e-05,,,,,36
4,oracle_coords_only,depth4_light,0.045459943845563525,0.002846930926558411,0.23058343693462025,0.1719716183954201,0.11397285426964543,0.11294307746805927,0.23718000781485649,0.003610317400470376,0.0013431335650384425,0.01373518573293404,0.0022790343835484236,3.0091173861280353e-05,1.3682520882483327e-05,0.001357296276503898,4.6801367487152824e-05,,,,,36
4,oracle_coords_only,depth7_high_capacity,0.03235253463031813,0.0002425713293314584,0.2091326529708942,0.15659559066563303,0.11098385608003045,0.11383439570205675,0.23406672166037273,0.0036210308400914074,0.0019758480578660966,0.013317648982177707,0.003173074763268232,3.5646874671796286e-05,1.9423048193537296e-05,0.0011564689972725546,7.565864823588057e-05,,,,,36
4,oracle_s_only,baseline,0.05154516596991101,0.008653743627897767,0.19576643650718498,0.1633094809660753,0.11631378164913825,0.1156597287377707,0.24565798797956645,0.0026368930615484716,0.000536183974146843,0.01285234422099602,0.0026047532572411004,2.7459167103021005e-05,2.861253852754182e-06,0.0016172844372629768,3.783830580054664e-05,,,,,36
4,oracle_s_only,depth4_light,0.050379173541943725,0.011662919885513892,0.21935841202711692,0.16949841725258896,0.12117169719837104,0.11294307746805927,0.24901283675030922,0.003610317400470376,0.00016686292439699172,0.01373518573293404,0.0020512533684726806,3.0091173861280353e-05,8.140964575749909e-07,0.001357296276503898,1.3365718779386478e-05,,,,,36
4,oracle_s_only,depth7_high_capacity,0.04045940356749432,0.009691209857025238,0.21332889919031187,0.1561579944791678,0.11997993856022829,0.11383439570205675,0.24528581412581302,0.0036210308400914074,0.0009673932295292617,0.013317648982177707,0.0025443169698468413,3.5646874671796286e-05,6.8734750064319306e-06,0.0011564689972725546,4.760158771599311e-05,,,,,36
5,oracle_coords_only,baseline,0.04960829578444931,0.004221726769539651,0.39124222545128434,0.13385731807098905,0.028891492179026174,0.37613254923720474,0.45268914966583645,0.012526264842553064,0.004920595774566754,0.006157258638273925,0.0022301774068269878,0.0005711349096803674,0.00016470913502070856,0.0001778213258641231,2.812167384458937e-05,,,,,18
5,oracle_coords_only,depth4_light,0.04593307392495774,0.00674828210398587,0.39427477106058867,0.13575855911723833,0.02471549770243736,0.3812787177049683,0.45827916701690274,0.014402132200123742,0.004261680088448338,0.007357995580811984,0.0017881989893503488,0.000771587975651641,0.0001168905467679418,0.00029922678127905473,1.4014942554502855e-05,,,,,18
5,oracle_coords_only,depth7_high_capacity,0.044295285775506066,0.003987801375272061,0.3572827216328388,0.12486671245307261,0.02800095361185076,0.37810225732896346,0.44391825531596213,0.011373305082321167,0.005475008756062016,0.0056330257054883984,0.0029112018177052962,0.0006227604717380863,0.00012280925801134946,0.0001379228663271513,3.981856440781462e-05,,,,,18
5,oracle_s_only,baseline,0.062121924406114026,0.01777985534190448,0.4153767233530148,0.13977521759216388,0.03852950906699533,0.37613254923720474,0.47676516835796967,0.012526264842553064,0.0023343749234452844,0.006157258638273925,0.0007193363764323294,0.0005711349096803674,2.5915063879770016e-05,0.0001778213258641231,4.718607166535221e-06,,,,,18
5,oracle_s_only,depth4_light,0.06760389243807119,0.019503388952437063,0.43961169106816644,0.14623877717791228,0.04282738230629553,0.3812787177049683,0.4860013762865073,0.014402132200123742,0.0016647738011553882,0.007357995580811984,0.0006113350788597017,0.000771587975651641,1.3798369690874785e-05,0.00029922678127905473,3.2778297532025434e-06,,,,,18
5,oracle_s_only,depth7_high_capacity,0.06275189393031866,0.017549968137278736,0.4198317321795143,0.13958390800580417,0.016643367197531622,0.37810225732896346,0.4731373164703788,0.011373305082321167,0.0029885287215467545,0.0056330257054883984,0.00159284202568233,0.0006227604717380863,3.050561587068329e-05,0.0001379228663271513,1.140789279324339e-05,,,,,18
6,oracle_coords_only,baseline,0.006230996771474699,-0.000918605521990537,0.02038715907254455,0.009970594081632535,0.013890484000976522,0.053932240178726706,0.06075378838427341,0.00020981452614068983,8.181285755708813e-05,0.003098040063958615,0.0003724925830960274,3.9292755537675415e-07,3.0222690219522994e-07,1.3504291966697507e-05,2.42476010464868e-06,,,,,36
6,oracle_coords_only,depth4_light,0.006949653042548402,-0.0006230151931898645,0.021774418564034996,0.010640915911928197,0.016352881994989975,0.05373222328990768,0.06602966791333466,4.282919429242611e-05,2.511770576238632e-05,0.0049562879914417865,0.0006578969791531563,1.487892276711089e-07,9.845122901295465e-08,4.3348806306433776e-05,1.527586165387056e-06,,,,,36
6,oracle_coords_only,depth7_high_capacity,0.00786343925156847,4.636381292378103e-05,0.016590665126674634,0.008252882930206045,0.010541272809045214,0.05329218527158645,0.06274181517353686,4.438655972480774e-05,0.00017130436711013317,0.0016122092753648757,0.001149115277826786,1.8576449917600657e-07,1.8995544980801252e-07,7.820042917656079e-06,4.6615608965085815e-06,,,,,36
6,oracle_s_only,baseline,0.007924480541196075,7.534759749329087e-05,0.022241214235325175,0.008741655916081177,0.013076535033026268,0.053932240178726706,0.06526888426246144,0.00020981452614068983,1.0293950140476226e-05,0.003098040063958615,0.0005847655728459358,3.9292755537675415e-07,1.0603271214596254e-07,1.3504291966697507e-05,3.2602385031910772e-06,,,,,36
6,oracle_s_only,depth4_light,0.007982365711898178,-0.0006411615883699026,0.022358052599687706,0.012121425136296517,0.01801249443295324,0.05373222328990768,0.06855138554605342,4.282919429242611e-05,1.3833877444267273e-05,0.0049562879914417865,0.0004740709766745567,1.487892276711089e-07,1.1671616208568382e-08,4.3348806306433776e-05,7.48727434832091e-07,,,,,36
6,oracle_s_only,depth7_high_capacity,0.009916974375418247,-0.00030272320410193454,0.019050331611526708,0.008666632700202358,0.011286559459550632,0.05329218527158645,0.06623987983053548,4.438655972480774e-05,8.092453479766846e-05,0.0016122092753648757,0.0005286962360143662,1.8576449917600657e-07,3.9697967265491574e-07,7.820042917656079e-06,2.3125889489883543e-06,,,,,36
7,oracle_coords_only,baseline,0.007698412513416963,-0.005826295868654368,0.024246474356054367,0.012395652189468602,0.01777640433690903,0.33342136545200185,0.3323059602775711,0.028697485074959696,0.03317675281856209,0.01873145567327738,0.01482593773305416,0.003211481799953987,0.0033412099205223336,0.0011097300584274985,0.0006827125239213379,,,,,18
7,oracle_coords_only,depth4_light,0.009797189589302563,-0.005530390861677737,0.028793515185213482,0.013095240544178618,0.01771841632645388,0.3437609657678846,0.3499464785472015,0.03217079839585349,0.032478488807706166,0.020952552477642893,0.013519182116538287,0.003551915217330697,0.003344619234930326,0.001098620148951876,0.0006857711033309022,,,,,18
7,oracle_coords_only,depth7_high_capacity,0.010699860374325264,-0.0015913116118201225,0.020159900844729045,0.00919288235909561,0.007572716101581306,0.3240813448783595,0.32984777271312227,0.028980776583612897,0.03290402816119604,0.01873081029681489,0.01614653003371786,0.0031233935940791894,0.003979200428510341,0.0008717182381118471,0.0006794646323445897,,,,,18
7,oracle_s_only,baseline,0.016384582599166808,-0.0009349984398555381,0.041076475085821434,0.019045227382035974,0.02562942063024306,0.33342136545200185,0.34620124157201926,0.028697485074959696,0.031254397523403164,0.01873145567327738,0.01600162538867444,0.003211481799953987,0.003003297464488389,0.0011097300584274985,0.0011175205054904309,,,,,18
7,oracle_s_only,depth4_light,0.018065747930609194,-0.012266140993014233,0.04463907489304378,0.02459225688479945,0.034888339657138584,0.3437609657678846,0.342692455636903,0.03217079839585349,0.03324875904358923,0.020952552477642893,0.017402391633018852,0.003551915217330697,0.0036240174769403568,0.001098620148951876,0.001498169293013868,,,,,18
7,oracle_s_only,depth7_high_capacity,0.022145155888566748,0.0003774999650174543,0.038132071139618924,0.015770888815910333,0.022519813541206544,0.3240813448783595,0.33814257118010405,0.028980776583612897,0.026825260984152555,0.01873081029681489,0.015588464949280022,0.0031233935940791894,0.002423278864234017,0.0008717182381118471,0.000904877458009222,,,,,18
